Kurskod;Kursnamn;Högskolepoäng;Anmälningskod;Årtal;Vecka;Studieplatser;Studietakt
DV001A;3D-modellering och animation i Open Source-miljö;7.5;28400;2013;4;30;0.50
DV001A;3D-modellering och animation i Open Source-miljö;7.5;38401;2013;24;30;0.50
DV001A;3D-modellering och animation i Open Source-miljö;7.5;28429;2016;4;100;0.50
DV001A;3D-modellering och animation i Open Source-miljö;7.5;18407;2018;36;250;0.50
DV001A;3D-modellering och animation i Open Source-miljö;7.5;18421;2020;36;600;0.50
DV001A;3D-modellering och animation i Open Source-miljö;7.5;18402;2021;35;250;0.50
DVG019;3D-modellering och animation i Open Source-miljö;7.5;18420;2023;35;250;0.50
DVG019;3D-modellering och animation i Open Source-miljö;7.5;18418;2024;36;250;0.25
DVG019;3D-modellering och animation i Open Source-miljö;7.5;18418;2025;36;250;0.25
EE431D;Advanced Projects in Electronics / Telecommunications;7.5;00000;2015;1;20;0.50
DVG319;Algoritmer och datastrukturer;7.5;28419;2017;14;10;0.50
DVG319;Algoritmer och datastrukturer;7.5;28403;2018;13;18;0.50
DVG329;Algoritmer och datastrukturer;7.5;18404;2019;46;40;0.50
DVG329;Algoritmer och datastrukturer;7.5;18402;2020;46;40;0.50
DVG329;Algoritmer och datastrukturer;7.5;18406;2021;45;50;0.50
DVG329;Algoritmer och datastrukturer;7.5;18419;2022;45;40;0.50
DVG329;Algoritmer och datastrukturer;7.5;18426;2023;45;45;0.50
DVG329;Algoritmer och datastrukturer;7.5;18423;2024;46;45;0.50
DVG329;Algoritmer och datastrukturer;7.5;18423;2025;46;45;0.50
DV003B;Algoritmer och datastrukturer I;7.5;28401;2013;4;30;0.50
DV003B;Algoritmer och datastrukturer I;7.5;18400;2013;45;30;0.50
DV003B;Algoritmer och datastrukturer I;7.5;28400;2014;4;30;0.50
DV003B;Algoritmer och datastrukturer I;7.5;18404;2014;45;20;0.50
DVG312;Algoritmer och datastrukturer I;7.5;28400;2015;4;2;0.50
DVG335;Algoritmer och datastrukturer för GIS;7.5;28434;2023;3;9;0.50
DVG335;Algoritmer och datastrukturer för GIS;7.5;28414;2024;3;9;0.50
DVG335;Algoritmer och datastrukturer för GIS;7.5;28414;2025;3;9;0.50
DVG307;Algoritmer och datastrukturer för geografisk informationsteknik;7.5;28427;2015;14;20;0.50
DVG307;Algoritmer och datastrukturer för geografisk informationsteknik;7.5;28423;2016;14;15;0.50
DVG307;Algoritmer och datastrukturer för geografisk informationsteknik;7.5;28400;2017;14;15;0.50
DVG307;Algoritmer och datastrukturer för geografisk informationsteknik;7.5;28404;2018;13;4;0.50
DVG307;Algoritmer och datastrukturer för geografisk informationsteknik;7.5;28401;2019;14;15;0.50
DVG307;Algoritmer och datastrukturer för geografisk informationsteknik;7.5;28410;2020;14;30;0.50
DVG307;Algoritmer och datastrukturer för geografisk informationsteknik;7.5;28402;2021;13;11;0.50
DVG307;Algoritmer och datastrukturer för geografisk informationsteknik;7.5;28416;2023;13;12;0.50
DVG307;Algoritmer och datastrukturer för geografisk informationsteknik;7.5;28408;2024;13;30;0.50
DVG307;Algoritmer och datastrukturer för geografisk informationsteknik;7.5;28408;2025;13;30;0.50
IM710A;Arbetsvetenskap och miljöteknik;7.5;17409;2019;46;50;0.50
DVU_WORKSHOPS_1;Att programmera med Workshops;0.0;1;2021;1;20;0.50
SBA003;Avancerad applikationsutveckling för GIS;15.0;17340;2023;1;6;1.00
SBA003;Avancerad applikationsutveckling för GIS;15.0;17306;2024;36;6;1.00
SBA003;Avancerad applikationsutveckling för GIS;15.0;17306;2025;36;6;1.00
SBA310;Avancerad geodataanalys;15.0;27335;2024;3;5;1.00
SBA310;Avancerad geodataanalys;15.0;27335;2025;3;5;1.00
DVA305;Avancerad geospatial datavisualisering;5.0;18411;2019;46;10;0.50
DVA305;Avancerad geospatial datavisualisering;5.0;18409;2020;46;4;0.50
DVA305;Avancerad geospatial datavisualisering;5.0;18425;2021;45;0;0.50
DVA305;Avancerad geospatial datavisualisering;5.0;18409;2022;45;5;0.50
DVA305;Avancerad geospatial datavisualisering;5.0;18409;2023;45;8;0.50
DVA305;Avancerad geospatial datavisualisering;5.0;18401;2024;46;8;0.25
DVA305;Avancerad geospatial datavisualisering;5.0;18401;2025;46;8;0.25
